id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	created_at
347	trabalhar		V	kiwakali						
348	wakare		PRON	todos						
349	wakata		V	molhar						
350	wakowa		S	acauã		Herpetotheres cachinnans	https://pt.wikipedia.org/wiki/Acauã	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Lachfalke.jpg/960px-Lachfalke.jpg		
351	wakwa		V	derramar, vazar						
352	walalaliyaka		S	peixe-abotoado		Pterodoras granulosus	https://pt.wikipedia.org/wiki/Abotoado	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Johann_Natterer_-_Abotoado_%28Pterodoras_granulosus%29.jpg/960px-Johann_Natterer_-_Abotoado_%28Pterodoras_granulosus%29.jpg		
353	walase		S	cabaça utilizada no ritual						
354	walata		V	falar	kokoli walata okwa = meu tio quer falar					
355	walataiti		V	dizer						
356	waloriki		S	bacaba		Oenocarpus bacaba	https://pt.wikipedia.org/wiki/Bacaba	https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Bacaba_2.jpg/960px-Bacaba_2.jpg		
357	walotali		S	nome genérico para arara		Família: Psittacidae; Tribo: Arini		https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Parrots_at_a_clay_lick_-Tambopata_National_Reserve%2C_Peru-8c.jpg/960px-Parrots_at_a_clay_lick_-Tambopata_National_Reserve%2C_Peru-8c.jpg		
358	wanaserõ			grande						
359	waraitalo		S	enfermeira						
360	waraiti		S	remédio						
361	waratali		S	curandeiro						
362	warekwahõ		S	caminho para o porto						
363	wareroirita		ADV	logo						
364	warese		S	borracha						
365	warokawa		ADV	amanhã						
366	wase			cego, cegar						
367	wase		S	amendoim		Arachis hypogaea	https://pt.wikipedia.org/wiki/Amendoim	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Arachis_hypogaea_-_Köhler–s_Medizinal-Pflanzen-163.jpg/960px-Arachis_hypogaea_-_Köhler–s_Medizinal-Pflanzen-163.jpg		
368	wata		S	calor						
369	wata			quente, esquentar						
370	Watadakoli		S	máscara ritual						
371	wataihi		S	terra quente						
372	watala		S	curimba						
373	watalaihi		S	água quente						
374	watalaseti		S	pulseira	netane watalaxixi hoxiroxi olawali owaka= a pulserinha da minha filha é feita de tucum					
375	watayti		S	febre						
376	watohã			quebrado, estragado						
377	watohi		S	mudo						
378	watolaixira		S	açaí						
379	waxarikwaihi		S	máscara ritual		Euterpe oleracea	https://pt.wikipedia.org/wiki/Açaí	https://upload.wikimedia.org/wikipedia/commons/2/20/Acapalms.jpg		
380	waxina		S	taquara						
381	wayakaJaiti		S	janela, espelho						
382	wayate		S	dono, proprietário						
383	wayoetene		V	olhar, ver						
384	wayokwata		S	joaninha		Família: Coccinellidae	https://pt.wikipedia.org/wiki/Joaninha	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Coccinella_septempunctata_Kaldari.jpg/960px-Coccinella_septempunctata_Kaldari.jpg		
385	wayoweta		V	acordar						
386	weholi			capivara		Hydrochoerus hydrochaeris	https://pt.wikipedia.org/wiki/Capivara	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg/330px-Hydrochoeris_hydrochaeris_in_Brazil_in_Petrópolis%2C_Rio_de_Janeiro%2C_Brazil_09.jpg		
387	wera		S	jirau						
388	werata		S	coceira						
389	werikixini		V	assustar						
390	werorenerõ		S	ser sobrenatural que habita o céu						
391	wesekõ		V	mão			https://pt.wikipedia.org/wiki/Mão	https://upload.wikimedia.org/wikipedia/commons/9/92/Gray1234.png		
392	wesekoitakori		S	recém nascido					Nesta fase os pais ficam reclusos, obedecendo a restrições alimentares para evitar que o recém nascido seja atormentado por seres que causam doenças ou a morte. O bebê tem seu cabelo cortado e suas orelhas furadas para receber o brinco de tucum. Também recebe enfeites de algodão em torno dos tornozelos e punhos. Alimenta-se de leite materno. Banhos de ervas para o crescimento com saúde. Recebe pinturas leves com urucum.	
393	wesekoti		S	mão	noweseko halikwa xikia werakwana = minha mão está coçando					
394	wesekoti enolisewe		S	polegar	yayali weseko enolisewe =  polegar do meu irmão			https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Thumbs_up.jpg/500px-Thumbs_up.jpg		
395	wesekotihe		S	dedo	yowali hawesekwahe hatenerowako aexowata = o meu irmão envio dedo na sua ouvido					
396	wesera		V	beber	ketera weserena yowalo nawe kakwa = nós estamos bebendo caldo de mandioca com batata doce com minhas irmãs					
397	wesera		V	beber						
398	wetene		V	tirar, pegar						
399	wiratene		V	coçar, raspar com a unha						
400	wisowisohi		S	caiarara		Gênero: Cebus	https://pt.wikipedia.org/wiki/Cebus	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Capuchin_Costa_Rica.jpg/500px-Capuchin_Costa_Rica.jpg		
401	wixo		PROPN	nós; pronome pessoal de primeira pessoa plural						
402	wixo ekãoli nawe		S	pessoa (indígenas)	datowa wixo ikãoli nawe ekone nodena = amanhã vou para aldeia indigenas					
